frame = 21230	 simulation time = 424.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21231	 simulation time = 424.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21232	 simulation time = 424.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21233	 simulation time = 424.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21234	 simulation time = 424.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21235	 simulation time = 424.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21236	 simulation time = 424.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21237	 simulation time = 424.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21238	 simulation time = 424.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
frame = 21239	 simulation time = 424.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 2green
