frame = 21710	 simulation time = 434.18	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21711	 simulation time = 434.20	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21712	 simulation time = 434.22	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21713	 simulation time = 434.24	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21714	 simulation time = 434.26	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21715	 simulation time = 434.28	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21716	 simulation time = 434.30	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21717	 simulation time = 434.32	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21718	 simulation time = 434.34	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21719	 simulation time = 434.36	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21720	 simulation time = 434.38	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21721	 simulation time = 434.40	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21722	 simulation time = 434.42	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21723	 simulation time = 434.44	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21724	 simulation time = 434.46	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21725	 simulation time = 434.48	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21726	 simulation time = 434.50	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21727	 simulation time = 434.52	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21728	 simulation time = 434.54	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21729	 simulation time = 434.56	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21730	 simulation time = 434.58	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21731	 simulation time = 434.60	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21732	 simulation time = 434.62	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21733	 simulation time = 434.64	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21734	 simulation time = 434.66	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21735	 simulation time = 434.68	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21736	 simulation time = 434.70	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21737	 simulation time = 434.72	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21738	 simulation time = 434.74	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21739	 simulation time = 434.76	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21740	 simulation time = 434.78	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21741	 simulation time = 434.80	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21742	 simulation time = 434.82	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 65red
frame = 21743	 simulation time = 434.84	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21744	 simulation time = 434.86	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21745	 simulation time = 434.88	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
