frame = 14438	 simulation time = 288.74	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14439	 simulation time = 288.76	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14440	 simulation time = 288.78	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14441	 simulation time = 288.80	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14442	 simulation time = 288.82	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14443	 simulation time = 288.84	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14444	 simulation time = 288.86	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14445	 simulation time = 288.88	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 68red
frame = 14446	 simulation time = 288.90	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14447	 simulation time = 288.92	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14448	 simulation time = 288.94	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14449	 simulation time = 288.96	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14450	 simulation time = 288.98	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14451	 simulation time = 289.00	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14452	 simulation time = 289.02	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14453	 simulation time = 289.04	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14454	 simulation time = 289.06	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14455	 simulation time = 289.08	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14456	 simulation time = 289.10	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14457	 simulation time = 289.12	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14458	 simulation time = 289.14	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14459	 simulation time = 289.16	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14460	 simulation time = 289.18	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14461	 simulation time = 289.20	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14462	 simulation time = 289.22	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14463	 simulation time = 289.24	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14464	 simulation time = 289.26	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14465	 simulation time = 289.28	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14466	 simulation time = 289.30	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14467	 simulation time = 289.32	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14468	 simulation time = 289.34	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14469	 simulation time = 289.36	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14470	 simulation time = 289.38	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14471	 simulation time = 289.40	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14472	 simulation time = 289.42	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14473	 simulation time = 289.44	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14474	 simulation time = 289.46	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14475	 simulation time = 289.48	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14476	 simulation time = 289.50	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14477	 simulation time = 289.52	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14478	 simulation time = 289.54	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14479	 simulation time = 289.56	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
frame = 14480	 simulation time = 289.58	 ego_vehicle speed = 000000	 ego_vehicle location = 125.9554821631	 next light status = 67red
