step,action,location, speed,EV location,EV speed,d to next tl,t1,,t2,,t3,,t4,,t5,,t6,,t7,,t8,,t9,,t10,,t11,,t12,,t13,,t14,,t15,,t16,,t17,
101,-0.149613,55.951729,5.080294,[55.951729,5.080294,44.048271,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
102,-0.334014,56.453079,5.013491,[56.453079,5.013491,43.546921,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
103,-0.350703,56.947414,4.94335,[56.947414,4.94335,43.052586,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
104,-0.366438,57.434418,4.870063,[57.434418,4.870063,42.565582,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
105,-0.381218,57.913799,4.793819,[57.913799,4.793819,42.086201,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
106,-0.39505,58.385281,4.714809,[58.385281,4.714809,41.614719,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
107,-0.407952,58.848602,4.633219,[58.848602,4.633219,41.151398,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
108,-0.419949,59.303528,4.549229,[59.303528,4.549229,40.696472,3,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
109,-0.431074,59.749828,4.463014,[59.749828,4.463014,40.250172,2,0,17,1,41,1,43,1,43,1,51,1,57,1,57,1,57,1,47,1,47,1,57,1,51,1,51,1,51,1,51,1,40, 2.0]
110,-0.456196,60.187004,4.371775,[60.187004,4.371775,39.812996,2,0,16,1,40,1,42,1,42,1,50,1,57,1,57,1,57,1,46,1,46,1,57,1,50,1,50,1,50,1,50,1,39, 2.0]
111,-0.195063,60.620281,4.332762,[60.620281,4.332762,39.379719,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
112,-0.361151,61.046333,4.260532,[61.046333,4.260532,38.953667,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
113,-0.372735,61.464935,4.185985,[61.464935,4.185985,38.535065,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
114,-0.383553,61.875862,4.109274,[61.875862,4.109274,38.124138,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
115,-0.393634,62.278915,4.030548,[62.278915,4.030548,37.721085,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
116,-0.403009,62.673912,3.949946,[62.673912,3.949946,37.326088,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
117,-0.411715,63.060669,3.867603,[63.060669,3.867603,36.939331,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
118,-0.419787,63.439034,3.783645,[63.439034,3.783645,36.560966,2,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
119,-0.427265,63.808853,3.698193,[63.808853,3.698193,36.191147,1,0,16,1,40,1,42,1,42,1,50,1,56,1,56,1,56,1,46,1,46,1,56,1,50,1,50,1,50,1,50,1,39, 2.0]
120,-0.441107,64.169853,3.609971,[64.169853,3.609971,35.830147,1,0,15,1,39,1,41,1,41,1,49,1,56,1,56,1,56,1,45,1,45,1,56,1,49,1,49,1,49,1,49,1,38, 2.0]
121,-0.20731,64.526703,3.568509,[64.526703,3.568509,35.473297,1,0,15,1,39,1,41,1,41,1,49,1,55,1,55,1,55,1,45,1,45,1,55,1,49,1,49,1,49,1,49,1,38, 2.0]
122,-0.347527,64.876602,3.499004,[64.876602,3.499004,35.123398,1,0,15,1,39,1,41,1,41,1,49,1,55,1,55,1,55,1,45,1,45,1,55,1,49,1,49,1,49,1,49,1,38, 2.0]
123,-0.355769,65.219391,3.42785,[65.219391,3.42785,34.780613,1,0,15,1,39,1,41,1,41,1,49,1,55,1,55,1,55,1,45,1,45,1,55,1,49,1,49,1,49,1,49,1,38, 2.0]
